Model,Dataset,ModelType,Version,test_loss,test_mae,Budget
RegressionConv,W1_10,conv_2M,version_1,0.38362881541252136,0.4830920696258545,128
RegressionConv,W1_10,conv_2M,version_2,0.695687472820282,0.6622469425201416,128
RegressionConv,W1_10,conv_2M,version_3,0.42429256439208984,0.5187779068946838,128
RegressionConv,W1_10,conv_2M,version_4,0.3763943016529083,0.46040958166122437,128
RegressionConv,W1_10,conv_2M,version_0,0.16813014447689056,0.32976239919662476,256
RegressionConv,W1_10,conv_2M,version_1,0.21881771087646484,0.3759816288948059,256
RegressionConv,W1_10,conv_2M,version_2,0.2244594842195511,0.3816399574279785,256
RegressionConv,W1_10,conv_2M,version_3,0.2737765908241272,0.4113868772983551,256
RegressionConv,W1_10,conv_2M,version_4,0.24627165496349335,0.3916085362434387,256
RegressionConv,W1_10,conv_2M,version_0,1.1434723138809204,0.8352040648460388,32
RegressionConv,W1_10,conv_2M,version_1,1.3671116828918457,0.8899474740028381,32
RegressionConv,W1_10,conv_2M,version_2,1.3281731605529785,0.8592207431793213,32
RegressionConv,W1_10,conv_2M,version_3,2.086059093475342,1.1338598728179932,32
RegressionConv,W1_10,conv_2M,version_4,4.555104732513428,1.6699918508529663,32
RegressionConv,W1_10,conv_2M,version_0,0.129811093211174,0.29006069898605347,512
RegressionConv,W1_10,conv_2M,version_1,0.12933045625686646,0.28845953941345215,512
RegressionConv,W1_10,conv_2M,version_2,0.11151879280805588,0.26454493403434753,512
RegressionConv,W1_10,conv_2M,version_3,0.13073940575122833,0.2873321771621704,512
RegressionConv,W1_10,conv_2M,version_4,0.1650903820991516,0.32832765579223633,512
RegressionConv,W1_10,conv_2M,version_0,1.4430712461471558,0.9625255465507507,64
RegressionConv,W1_10,conv_2M,version_1,9.117757797241211,2.4032771587371826,64
RegressionConv,W1_10,conv_2M,version_2,1.220300316810608,0.8835950493812561,64
RegressionConv,W1_10,conv_2M,version_3,0.9010869860649109,0.7588515877723694,64
RegressionConv,W1_10,conv_2M,version_4,0.9608917236328125,0.7767511010169983,64
RegressionConv,W1_10,conv_500K,version_0,0.2810359597206116,0.4223569631576538,128
RegressionConv,W1_10,conv_500K,version_1,0.2412181943655014,0.3847602605819702,128
RegressionConv,W1_10,conv_500K,version_2,0.23421044647693634,0.3860965371131897,128
RegressionConv,W1_10,conv_500K,version_3,0.42135414481163025,0.5193666815757751,128
RegressionConv,W1_10,conv_500K,version_4,0.21624042093753815,0.36933791637420654,128
RegressionConv,W1_10,conv_500K,version_0,0.14603003859519958,0.30741143226623535,256
RegressionConv,W1_10,conv_500K,version_1,0.18932899832725525,0.3495907783508301,256
RegressionConv,W1_10,conv_500K,version_2,0.23531007766723633,0.38453006744384766,256
RegressionConv,W1_10,conv_500K,version_3,0.20218922197818756,0.36535269021987915,256
RegressionConv,W1_10,conv_500K,version_4,0.2387702763080597,0.385168194770813,256
RegressionConv,W1_10,conv_500K,version_0,2.169370412826538,1.1354538202285767,32
RegressionConv,W1_10,conv_500K,version_1,0.8593258261680603,0.7170895934104919,32
RegressionConv,W1_10,conv_500K,version_2,2.0627150535583496,1.0839178562164307,32
RegressionConv,W1_10,conv_500K,version_3,1.2027686834335327,0.8377774953842163,32
RegressionConv,W1_10,conv_500K,version_4,2.7036211490631104,1.2825109958648682,32
RegressionConv,W1_10,conv_500K,version_0,0.1715240180492401,0.334766149520874,512
RegressionConv,W1_10,conv_500K,version_1,0.12402235716581345,0.2773871421813965,512
RegressionConv,W1_10,conv_500K,version_2,0.13938219845294952,0.2959349751472473,512
RegressionConv,W1_10,conv_500K,version_3,0.13224779069423676,0.29084816575050354,512
RegressionConv,W1_10,conv_500K,version_4,0.18206773698329926,0.33810365200042725,512
RegressionConv,W1_10,conv_500K,version_0,0.9594465494155884,0.7537559866905212,64
RegressionConv,W1_10,conv_500K,version_1,2.535360097885132,1.2394797801971436,64
RegressionConv,W1_10,conv_500K,version_2,0.9001101851463318,0.7369495630264282,64
RegressionConv,W1_10,conv_500K,version_3,4.5386223793029785,1.635937213897705,64
RegressionConv,W1_10,conv_500K,version_4,2.6123239994049072,1.2522944211959839,64
RegressionConv,W1_16,conv_100K,version_0,0.33508652448654175,0.4830162823200226,128
RegressionConv,W1_16,conv_100K,version_1,0.6836493015289307,0.6211300492286682,128
RegressionConv,W1_16,conv_100K,version_2,0.3354087769985199,0.48029887676239014,128
RegressionConv,W1_16,conv_100K,version_3,0.7873166799545288,0.7331344485282898,128
RegressionConv,W1_16,conv_100K,version_4,0.43807581067085266,0.5265626311302185,128
RegressionConv,W1_16,conv_100K,version_0,0.12632150948047638,0.28069058060646057,256
RegressionConv,W1_16,conv_100K,version_1,0.2395850270986557,0.39785459637641907,256
RegressionConv,W1_16,conv_100K,version_2,0.3730442523956299,0.4991791546344757,256
RegressionConv,W1_16,conv_100K,version_3,0.18610897660255432,0.3345811665058136,256
RegressionConv,W1_16,conv_100K,version_4,0.29648491740226746,0.44145748019218445,256
RegressionConv,W1_16,conv_100K,version_0,0.7735854983329773,0.6874884366989136,32
RegressionConv,W1_16,conv_100K,version_1,1.0195751190185547,0.6868112683296204,32
RegressionConv,W1_16,conv_100K,version_2,0.5716153979301453,0.5955223441123962,32
RegressionConv,W1_16,conv_100K,version_3,2.016746759414673,1.14667809009552,32
RegressionConv,W1_16,conv_100K,version_4,1.1717017889022827,0.8045640587806702,32
RegressionConv,W1_16,conv_100K,version_0,0.09152936935424805,0.23809200525283813,512
RegressionConv,W1_16,conv_100K,version_1,0.15343360602855682,0.30499735474586487,512
RegressionConv,W1_16,conv_100K,version_2,0.09228698909282684,0.22637328505516052,512
RegressionConv,W1_16,conv_100K,version_3,0.08008792996406555,0.2174411416053772,512
RegressionConv,W1_16,conv_100K,version_4,0.20541644096374512,0.3436976969242096,512
RegressionConv,W1_16,conv_100K,version_0,0.4842451810836792,0.5791423320770264,64
RegressionConv,W1_16,conv_100K,version_1,1.322210431098938,0.872981607913971,64
RegressionConv,W1_16,conv_100K,version_2,0.7937818765640259,0.5988722443580627,64
RegressionConv,W1_16,conv_100K,version_3,0.5962039828300476,0.617240846157074,64
RegressionConv,W1_16,conv_100K,version_4,0.8971421718597412,0.7686566710472107,64
RegressionConv,W1_16,conv_2M,version_0,0.7550734281539917,0.6714450120925903,128
RegressionConv,W1_16,conv_2M,version_1,0.7105519771575928,0.6869934797286987,128
RegressionConv,W1_16,conv_2M,version_2,0.8084564208984375,0.7273516058921814,128
RegressionConv,W1_16,conv_2M,version_3,0.3580414652824402,0.476849228143692,128
RegressionConv,W1_16,conv_2M,version_4,0.5400926470756531,0.5771538019180298,128
RegressionConv,W1_16,conv_2M,version_0,0.20949161052703857,0.3679368197917938,256
RegressionConv,W1_16,conv_2M,version_1,0.26191413402557373,0.4032808840274811,256
RegressionConv,W1_16,conv_2M,version_2,0.2215859442949295,0.35769394040107727,256
RegressionConv,W1_16,conv_2M,version_3,0.14485689997673035,0.3000279366970062,256
RegressionConv,W1_16,conv_2M,version_4,0.11538870632648468,0.2716558277606964,256
RegressionConv,W1_16,conv_2M,version_0,3.4856739044189453,1.5033396482467651,32
RegressionConv,W1_16,conv_2M,version_1,7.476499557495117,2.170135974884033,32
RegressionConv,W1_16,conv_2M,version_2,15.265032768249512,3.322798728942871,32
RegressionConv,W1_16,conv_2M,version_3,16.673124313354492,3.4700968265533447,32
RegressionConv,W1_16,conv_2M,version_4,11.318496704101562,2.8543691635131836,32
RegressionConv,W1_16,conv_2M,version_0,0.0744858980178833,0.22345861792564392,512
RegressionConv,W1_16,conv_2M,version_1,0.0810849666595459,0.22799673676490784,512
RegressionConv,W1_16,conv_2M,version_2,0.11336562782526016,0.27750715613365173,512
RegressionConv,W1_16,conv_2M,version_3,0.10482505708932877,0.26917967200279236,512
RegressionConv,W1_16,conv_2M,version_4,0.08468087017536163,0.23982807993888855,512
RegressionConv,W1_16,conv_2M,version_0,13.729232788085938,3.156228542327881,64
RegressionConv,W1_16,conv_2M,version_1,10.384998321533203,2.6918091773986816,64
RegressionConv,W1_16,conv_2M,version_2,19.690277099609375,3.704423189163208,64
RegressionConv,W1_16,conv_2M,version_3,8.662666320800781,2.4762017726898193,64
RegressionConv,W1_16,conv_2M,version_4,14.560153007507324,3.201770782470703,64
RegressionConv,W1_16,conv_500K,version_0,0.3606385588645935,0.4842233657836914,128
RegressionConv,W1_16,conv_500K,version_1,0.3933585584163666,0.5151883959770203,128
RegressionConv,W1_16,conv_500K,version_2,0.23432384431362152,0.3577336370944977,128
RegressionConv,W1_16,conv_500K,version_3,0.20376011729240417,0.3521381914615631,128
RegressionConv,W1_16,conv_500K,version_4,0.278837651014328,0.418039470911026,128
RegressionConv,W1_16,conv_500K,version_0,0.19499796628952026,0.33448055386543274,256
RegressionConv,W1_16,conv_500K,version_1,0.26428452134132385,0.3703695833683014,256
RegressionConv,W1_16,conv_500K,version_2,0.23761647939682007,0.3598216772079468,256
RegressionConv,W1_16,conv_500K,version_3,0.3373568654060364,0.45536765456199646,256
RegressionConv,W1_16,conv_500K,version_4,0.16082721948623657,0.3174845278263092,256
RegressionConv,W1_16,conv_500K,version_0,0.5725935101509094,0.6071913838386536,32
RegressionConv,W1_16,conv_500K,version_1,0.9351847767829895,0.7633642554283142,32
RegressionConv,W1_16,conv_500K,version_2,0.9268747568130493,0.7723738551139832,32
RegressionConv,W1_16,conv_500K,version_3,0.9805645942687988,0.8132641911506653,32
RegressionConv,W1_16,conv_500K,version_4,1.8460391759872437,1.108327031135559,32
RegressionConv,W1_16,conv_500K,version_0,0.08820830285549164,0.21539005637168884,512
RegressionConv,W1_16,conv_500K,version_1,0.08413083851337433,0.22665813565254211,512
RegressionConv,W1_16,conv_500K,version_2,0.14139994978904724,0.27799472212791443,512
RegressionConv,W1_16,conv_500K,version_3,0.17769776284694672,0.31697139143943787,512
RegressionConv,W1_16,conv_500K,version_4,0.05759561061859131,0.18742889165878296,512
RegressionConv,W1_16,conv_500K,version_0,1.4033770561218262,0.994286835193634,64
RegressionConv,W1_16,conv_500K,version_1,0.37774261832237244,0.49606505036354065,64
RegressionConv,W1_16,conv_500K,version_2,0.545798659324646,0.59637850522995,64
RegressionConv,W1_16,conv_500K,version_3,0.731177031993866,0.7029796838760376,64
RegressionConv,W1_16,conv_500K,version_4,0.3746252655982971,0.4782062768936157,64
RegressionConv,W2_10,conv_100K,version_0,0.021863076835870743,0.12962272763252258,128
RegressionConv,W2_10,conv_100K,version_1,0.041397012770175934,0.18906521797180176,128
RegressionConv,W2_10,conv_100K,version_2,0.012588388286530972,0.0966385081410408,128
RegressionConv,W2_10,conv_100K,version_3,0.005821811035275459,0.05859256163239479,128
RegressionConv,W2_10,conv_100K,version_4,0.009659647941589355,0.08175156265497208,128
RegressionConv,W2_10,conv_100K,version_0,0.013700253330171108,0.10306984931230545,256
RegressionConv,W2_10,conv_100K,version_1,0.021759290248155594,0.13392284512519836,256
RegressionConv,W2_10,conv_100K,version_2,0.026539552956819534,0.14963430166244507,256
RegressionConv,W2_10,conv_100K,version_3,0.012064142152667046,0.09343124181032181,256
RegressionConv,W2_10,conv_100K,version_4,0.012582792900502682,0.0962277427315712,256
RegressionConv,W2_10,conv_100K,version_0,0.013418091461062431,0.10004565864801407,32
RegressionConv,W2_10,conv_100K,version_1,0.04191802442073822,0.19214299321174622,32
RegressionConv,W2_10,conv_100K,version_2,0.05431098863482475,0.22126638889312744,32
RegressionConv,W2_10,conv_100K,version_3,0.04546240717172623,0.2018309235572815,32
RegressionConv,W2_10,conv_100K,version_4,0.06157638877630234,0.239059180021286,32
RegressionConv,W2_10,conv_100K,version_0,0.009483672678470612,0.08133154362440109,512
RegressionConv,W2_10,conv_100K,version_1,0.011748287826776505,0.09218298643827438,512
RegressionConv,W2_10,conv_100K,version_2,0.00674691004678607,0.06971075385808945,512
RegressionConv,W2_10,conv_100K,version_3,0.013261555694043636,0.09987067431211472,512
RegressionConv,W2_10,conv_100K,version_4,0.02113390900194645,0.12944293022155762,512
RegressionConv,W2_10,conv_100K,version_0,0.09023455530405045,0.28347867727279663,64
RegressionConv,W2_10,conv_100K,version_1,0.16742588579654694,0.3819957673549652,64
RegressionConv,W2_10,conv_100K,version_2,0.05940208211541176,0.2281670868396759,64
RegressionConv,W2_10,conv_100K,version_3,0.07766613364219666,0.26039937138557434,64
RegressionConv,W2_10,conv_100K,version_4,0.03384305536746979,0.1655573546886444,64
RegressionConv,W2_10,conv_2M,version_0,0.03056255728006363,0.130977600812912,128
RegressionConv,W2_10,conv_2M,version_1,0.01718217507004738,0.10545938462018967,128
RegressionConv,W2_10,conv_2M,version_2,0.044560302048921585,0.15756309032440186,128
RegressionConv,W2_10,conv_2M,version_3,0.0764625295996666,0.2196725606918335,128
RegressionConv,W2_10,conv_2M,version_4,0.058600619435310364,0.19839444756507874,128
RegressionConv,W2_10,conv_2M,version_0,0.031351249665021896,0.13831278681755066,256
RegressionConv,W2_10,conv_2M,version_1,0.014141660183668137,0.084187351167202,256
RegressionConv,W2_10,conv_2M,version_2,0.02699323371052742,0.1273065209388733,256
RegressionConv,W2_10,conv_2M,version_3,0.11422208696603775,0.26553744077682495,256
RegressionConv,W2_10,conv_2M,version_4,0.04679417237639427,0.17528194189071655,256
RegressionConv,W2_10,conv_2M,version_0,0.10963209718465805,0.2543177008628845,32
RegressionConv,W2_10,conv_2M,version_1,0.024381956085562706,0.13036689162254333,32
RegressionConv,W2_10,conv_2M,version_2,0.022175382822752,0.11892544478178024,32
