,Model,Budget,Dataset,Version,test_mse,test_mae
102,mlp_30M,128,W1_10,2,2.7913,1.4044
103,mlp_30M,128,W1_10,3,0.6842,0.6889
104,mlp_30M,128,W1_10,4,0.7212,0.72
105,mlp_30M,256,W1_10,0,0.1052,0.2604
106,mlp_30M,256,W1_10,1,0.0788,0.2241
107,mlp_30M,256,W1_10,2,0.1268,0.2824
108,mlp_30M,256,W1_10,3,0.1191,0.2761
109,mlp_30M,256,W1_10,4,0.1058,0.2628
110,mlp_30M,32,W1_10,0,25.0031,4.2405
111,mlp_30M,32,W1_10,1,30.1288,4.6862
112,mlp_30M,32,W1_10,2,32.5065,4.8601
113,mlp_30M,32,W1_10,3,31.0983,4.7831
114,mlp_30M,32,W1_10,4,31.9825,4.8301
115,mlp_30M,512,W1_10,0,0.0573,0.1923
116,mlp_30M,512,W1_10,1,34.5341,5.0902
117,mlp_30M,512,W1_10,2,0.0597,0.1964
118,mlp_30M,512,W1_10,3,0.0753,0.2176
119,mlp_30M,512,W1_10,4,0.061,0.1987
120,mlp_30M,64,W1_10,0,23.4959,4.1452
121,mlp_30M,64,W1_10,1,23.6811,4.2073
122,mlp_30M,64,W1_10,2,25.8847,4.4011
123,mlp_30M,64,W1_10,3,25.8029,4.37
124,mlp_30M,64,W1_10,4,24.0694,4.228
125,vit_15M,128,W1_10,0,0.3041,0.4447
126,vit_15M,128,W1_10,1,0.308,0.4472
127,vit_15M,128,W1_10,2,0.2144,0.3609
128,vit_15M,128,W1_10,3,0.2222,0.3762
129,vit_15M,128,W1_10,4,0.1482,0.3064
130,vit_15M,256,W1_10,0,0.1523,0.3173
131,vit_15M,256,W1_10,1,0.1254,0.2812
132,vit_15M,256,W1_10,2,0.1615,0.3178
133,vit_15M,256,W1_10,3,0.1513,0.3131
134,vit_15M,256,W1_10,4,0.1097,0.2707
135,vit_15M,32,W1_10,0,23.4326,4.1175
136,vit_15M,32,W1_10,1,24.9062,4.2816
137,vit_15M,32,W1_10,2,36.3788,5.1538
138,vit_15M,32,W1_10,3,36.9718,5.1697
139,vit_15M,32,W1_10,4,24.3594,4.0303
140,vit_15M,512,W1_10,0,0.0785,0.2239
141,vit_15M,512,W1_10,1,0.0753,0.2218
142,vit_15M,512,W1_10,2,0.0826,0.2338
143,vit_15M,512,W1_10,3,0.0771,0.2237
144,vit_15M,512,W1_10,4,0.0869,0.2378
145,vit_15M,64,W1_10,0,6.3068,2.006
146,vit_15M,64,W1_10,1,2.5449,1.2465
147,vit_15M,64,W1_10,2,11.6862,2.8887
148,vit_15M,64,W1_10,3,1.3123,0.9493
149,vit_15M,64,W1_10,4,2.4889,1.2976
150,vit_1M,128,W1_10,0,0.1238,0.2844
151,vit_1M,128,W1_10,1,0.1166,0.2748
152,vit_1M,128,W1_10,2,0.1155,0.2726
153,vit_1M,128,W1_10,3,0.1129,0.2723
154,vit_1M,128,W1_10,4,0.1168,0.2778
155,vit_1M,256,W1_10,0,0.0846,0.2377
156,vit_1M,256,W1_10,1,0.0895,0.2445
157,vit_1M,256,W1_10,2,0.0818,0.2333
158,vit_1M,256,W1_10,3,0.0869,0.2403
159,vit_1M,256,W1_10,4,0.0873,0.2391
160,vit_1M,32,W1_10,0,0.1604,0.3211
161,vit_1M,32,W1_10,1,0.2459,0.3992
162,vit_1M,32,W1_10,2,0.2328,0.3776
163,vit_1M,32,W1_10,3,0.2326,0.3915
164,vit_1M,32,W1_10,4,0.2589,0.4125
165,vit_1M,512,W1_10,0,0.0697,0.213
166,vit_1M,512,W1_10,1,0.0723,0.2156
167,vit_1M,512,W1_10,2,0.0716,0.2152
168,vit_1M,512,W1_10,3,0.0735,0.2205
169,vit_1M,512,W1_10,4,0.0684,0.2112
170,vit_1M,64,W1_10,0,0.2601,0.4057
171,vit_1M,64,W1_10,1,0.2072,0.3625
172,vit_1M,64,W1_10,2,0.2615,0.411
173,vit_1M,64,W1_10,3,0.2591,0.4135
174,vit_1M,64,W1_10,4,0.2593,0.4057
175,vit_500K,128,W1_10,0,0.111,0.2696
176,vit_500K,128,W1_10,1,0.0959,0.246
177,vit_500K,128,W1_10,2,0.1221,0.2799
178,vit_500K,128,W1_10,3,0.0829,0.2305
179,vit_500K,128,W1_10,4,0.0864,0.2311
180,vit_500K,256,W1_10,0,0.0795,0.2256
181,vit_500K,256,W1_10,1,0.0799,0.2264
182,vit_500K,256,W1_10,2,0.0835,0.2287
183,vit_500K,256,W1_10,3,0.0716,0.2124
184,vit_500K,256,W1_10,4,0.0806,0.2243
185,vit_500K,32,W1_10,0,0.267,0.4147
186,vit_500K,32,W1_10,1,0.2315,0.3908
187,vit_500K,32,W1_10,2,0.1591,0.3183
188,vit_500K,32,W1_10,3,0.175,0.3372
189,vit_500K,32,W1_10,4,0.2054,0.3679
190,vit_500K,512,W1_10,0,0.0644,0.2032
191,vit_500K,512,W1_10,1,0.0682,0.2075
192,vit_500K,512,W1_10,2,0.0674,0.2065
193,vit_500K,512,W1_10,3,0.068,0.2078
194,vit_500K,512,W1_10,4,0.0668,0.2062
195,vit_500K,64,W1_10,0,0.2055,0.36
196,vit_500K,64,W1_10,1,0.2113,0.3697
197,vit_500K,64,W1_10,2,0.2697,0.3974
198,vit_500K,64,W1_10,3,0.2598,0.407
199,vit_500K,64,W1_10,4,0.1711,0.3387
200,vit_5M,128,W1_10,0,0.112,0.2702
201,vit_5M,128,W1_10,1,0.1143,0.2749
202,vit_5M,128,W1_10,2,0.1089,0.2654
203,vit_5M,128,W1_10,3,0.1194,0.2799
204,vit_5M,128,W1_10,4,0.1146,0.2759
205,vit_5M,256,W1_10,0,0.0885,0.2409
206,vit_5M,256,W1_10,1,0.0806,0.2297
207,vit_5M,256,W1_10,2,0.076,0.2253
208,vit_5M,256,W1_10,3,0.0887,0.2424
209,vit_5M,256,W1_10,4,0.0757,0.2236
210,vit_5M,32,W1_10,0,0.2973,0.4348
211,vit_5M,32,W1_10,1,0.2609,0.4095
212,vit_5M,32,W1_10,2,0.2845,0.4282
213,vit_5M,32,W1_10,3,0.2874,0.4299
214,vit_5M,32,W1_10,4,0.2428,0.3935
215,vit_5M,512,W1_10,0,0.0723,0.2155
216,vit_5M,512,W1_10,1,0.0729,0.2172
217,vit_5M,512,W1_10,2,0.0694,0.212
218,vit_5M,512,W1_10,3,0.0703,0.2133
219,vit_5M,512,W1_10,4,0.0701,0.2119
220,vit_5M,64,W1_10,0,0.2096,0.3715
221,vit_5M,64,W1_10,1,0.2845,0.4317
222,vit_5M,64,W1_10,2,0.248,0.4016
223,vit_5M,64,W1_10,3,0.2184,0.3703
224,vit_5M,64,W1_10,4,0.2599,0.4012
225,conv_100K,128,W1_16,0,0.3276,0.4768
226,conv_100K,128,W1_16,1,0.6835,0.6212
227,conv_100K,128,W1_16,2,0.3369,0.4815
228,conv_100K,128,W1_16,3,0.7928,0.7363
229,conv_100K,128,W1_16,4,0.4411,0.5281
230,conv_100K,256,W1_16,0,0.1259,0.2802
231,conv_100K,256,W1_16,1,0.239,0.3973
232,conv_100K,256,W1_16,2,0.3757,0.5011
233,conv_100K,256,W1_16,3,0.1853,0.3338
234,conv_100K,256,W1_16,4,0.2943,0.4398
235,conv_100K,32,W1_16,0,0.7737,0.688
236,conv_100K,32,W1_16,1,1.0216,0.6871
237,conv_100K,32,W1_16,2,0.5717,0.596
238,conv_100K,32,W1_16,3,2.0158,1.1463
239,conv_100K,32,W1_16,4,1.1699,0.8046
240,conv_100K,512,W1_16,0,0.0917,0.2383
241,conv_100K,512,W1_16,1,0.1517,0.3028
242,conv_100K,512,W1_16,2,0.0933,0.2275
243,conv_100K,512,W1_16,3,0.0801,0.2175
244,conv_100K,512,W1_16,4,0.2069,0.3449
245,conv_100K,64,W1_16,0,0.4839,0.5788
246,conv_100K,64,W1_16,1,1.3206,0.8731
247,conv_100K,64,W1_16,2,0.7961,0.5994
248,conv_100K,64,W1_16,3,0.598,0.6186
249,conv_100K,64,W1_16,4,0.8981,0.769
250,conv_2M,128,W1_16,0,0.7558,0.6718
251,conv_2M,128,W1_16,1,0.7098,0.6866
252,conv_2M,128,W1_16,2,0.8022,0.7233
253,conv_2M,128,W1_16,3,0.3584,0.4764
254,conv_2M,128,W1_16,4,0.5385,0.5761
255,conv_2M,256,W1_16,0,0.2106,0.3696
256,conv_2M,256,W1_16,1,0.2621,0.4037
257,conv_2M,256,W1_16,2,0.2229,0.3582
258,conv_2M,256,W1_16,3,0.1432,0.2985
259,conv_2M,256,W1_16,4,0.1161,0.2734
260,conv_2M,32,W1_16,0,3.4853,1.5033
261,conv_2M,32,W1_16,1,7.4726,2.1693
262,conv_2M,32,W1_16,2,15.2615,3.3227
263,conv_2M,32,W1_16,3,16.6659,3.4696
264,conv_2M,32,W1_16,4,11.3219,2.8547
265,conv_2M,512,W1_16,0,0.0745,0.2234
266,conv_2M,512,W1_16,1,0.081,0.2278
267,conv_2M,512,W1_16,2,0.1136,0.278
268,conv_2M,512,W1_16,3,0.1024,0.265
269,conv_2M,512,W1_16,4,0.0854,0.2413
270,conv_2M,64,W1_16,0,13.7299,3.1561
271,conv_2M,64,W1_16,1,10.3801,2.6915
272,conv_2M,64,W1_16,2,19.6929,3.7044
273,conv_2M,64,W1_16,3,8.6611,2.4762
274,conv_2M,64,W1_16,4,14.5559,3.2016
275,conv_500K,128,W1_16,0,0.3602,0.4837
276,conv_500K,128,W1_16,1,0.3961,0.5171
277,conv_500K,128,W1_16,2,0.2333,0.354
278,conv_500K,128,W1_16,3,0.2059,0.3543
279,conv_500K,128,W1_16,4,0.2826,0.4221
280,conv_500K,256,W1_16,0,0.195,0.3345
281,conv_500K,256,W1_16,1,0.2655,0.3708
282,conv_500K,256,W1_16,2,0.2372,0.3595
283,conv_500K,256,W1_16,3,0.3391,0.457
