Model,Seq.,Batched.,Train
vit_500K,2.90416955947876,0.0585507601499557,0.2595681977272033
vit_1M,3.2233428955078125,0.0691147893667221,0.3329884433746338
vit_5M,4.491915702819824,0.1766319945454597,0.6572482657432556
vit_15M,5.19737720489502,0.4345400631427765,1.489717116355896
conv_100K,0.5050992965698242,0.3939689323306083,1.1956426334381105
conv_500K,0.540015697479248,0.4406534135341644,1.3353821587562562
conv_2M,0.5048060417175293,0.4721076413989067,1.4406619811058043
mlp_15M,0.2000069618225097,0.0118754431605339,0.1551173591613769
mlp_30M,0.3300142288208008,0.0197145342826843,0.2192949557304382
